Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Casablanca-Settat,Ensemble,Ensemble,Population municipale,7651096.0
Casablanca-Settat,Urbain,Ensemble,Population municipale,5605153.0
Casablanca-Settat,Ensemble,Féminin,Population municipale,3834806.0
Casablanca-Settat,Ensemble,Masculin,Population municipale,3816290.0
Casablanca-Settat,Urbain,Féminin,Population municipale,2839480.0
Casablanca-Settat,Urbain,Masculin,Population municipale,2765673.0
Casablanca-Settat,Rural,Ensemble,Population municipale,2045943.0
Casablanca-Settat,Rural,Masculin,Population municipale,1050617.0
Casablanca-Settat,Rural,Féminin,Population municipale,995326.0
