Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Drâa-Tafilalet,Ensemble,Ensemble,Population municipale,1643144.0
Drâa-Tafilalet,Rural,Ensemble,Population municipale,1043820.0
Drâa-Tafilalet,Ensemble,Féminin,Population municipale,834796.0
Drâa-Tafilalet,Ensemble,Masculin,Population municipale,808348.0
Drâa-Tafilalet,Urbain,Ensemble,Population municipale,599324.0
Drâa-Tafilalet,Rural,Féminin,Population municipale,528483.0
Drâa-Tafilalet,Rural,Masculin,Population municipale,515337.0
Drâa-Tafilalet,Urbain,Féminin,Population municipale,306313.0
Drâa-Tafilalet,Urbain,Masculin,Population municipale,293011.0
