Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Souss-Massa,Ensemble,Ensemble,Population municipale,2994360.0
Souss-Massa,Urbain,Ensemble,Population municipale,1796534.0
Souss-Massa,Ensemble,Féminin,Population municipale,1509876.0
Souss-Massa,Ensemble,Masculin,Population municipale,1484484.0
Souss-Massa,Rural,Ensemble,Population municipale,1197826.0
Souss-Massa,Urbain,Féminin,Population municipale,900667.0
Souss-Massa,Urbain,Masculin,Population municipale,895867.0
Souss-Massa,Rural,Féminin,Population municipale,609209.0
Souss-Massa,Rural,Masculin,Population municipale,588617.0
