Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Fès-Meknès,Ensemble,Ensemble,Population municipale,4436873.0
Fès-Meknès,Urbain,Ensemble,Population municipale,2832025.0
Fès-Meknès,Ensemble,Féminin,Population municipale,2232578.0
Fès-Meknès,Ensemble,Masculin,Population municipale,2204295.0
Fès-Meknès,Rural,Ensemble,Population municipale,1604848.0
Fès-Meknès,Urbain,Féminin,Population municipale,1443925.0
Fès-Meknès,Urbain,Masculin,Population municipale,1388100.0
Fès-Meknès,Rural,Masculin,Population municipale,816195.0
Fès-Meknès,Rural,Féminin,Population municipale,788653.0
