Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental,Ensemble,Ensemble,Population municipale,2269378.0
Oriental,Urbain,Ensemble,Population municipale,1490769.0
Oriental,Ensemble,Féminin,Population municipale,1159757.0
Oriental,Ensemble,Masculin,Population municipale,1109621.0
Oriental,Rural,Ensemble,Population municipale,778609.0
Oriental,Urbain,Féminin,Population municipale,767561.0
Oriental,Urbain,Masculin,Population municipale,723208.0
Oriental,Rural,Féminin,Population municipale,392196.0
Oriental,Rural,Masculin,Population municipale,386413.0
