Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Rabat-Salé-Kénitra,Ensemble,Ensemble,Population municipale,5088656.0
Rabat-Salé-Kénitra,Urbain,Ensemble,Population municipale,3592146.0
Rabat-Salé-Kénitra,Ensemble,Féminin,Population municipale,2560370.0
Rabat-Salé-Kénitra,Ensemble,Masculin,Population municipale,2528286.0
Rabat-Salé-Kénitra,Urbain,Féminin,Population municipale,1830508.0
Rabat-Salé-Kénitra,Urbain,Masculin,Population municipale,1761638.0
Rabat-Salé-Kénitra,Rural,Ensemble,Population municipale,1496510.0
Rabat-Salé-Kénitra,Rural,Masculin,Population municipale,766648.0
Rabat-Salé-Kénitra,Rural,Féminin,Population municipale,729862.0
