Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Tanger-Tétouan-Al Hoceima,Ensemble,Ensemble,Population municipale,4008655.0
Tanger-Tétouan-Al Hoceima,Urbain,Ensemble,Population municipale,2626188.0
Tanger-Tétouan-Al Hoceima,Ensemble,Masculin,Population municipale,2035494.0
Tanger-Tétouan-Al Hoceima,Ensemble,Féminin,Population municipale,1973161.0
Tanger-Tétouan-Al Hoceima,Rural,Ensemble,Population municipale,1382467.0
Tanger-Tétouan-Al Hoceima,Urbain,Masculin,Population municipale,1317880.0
Tanger-Tétouan-Al Hoceima,Urbain,Féminin,Population municipale,1308308.0
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Population municipale,717614.0
Tanger-Tétouan-Al Hoceima,Rural,Féminin,Population municipale,664853.0
