Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Dakhla-Oued Ed-Dahab,Ensemble,Ensemble,Population municipale,186611.0
Dakhla-Oued Ed-Dahab,Urbain,Ensemble,Population municipale,167401.0
Dakhla-Oued Ed-Dahab,Ensemble,Masculin,Population municipale,109038.0
Dakhla-Oued Ed-Dahab,Urbain,Masculin,Population municipale,91596.0
Dakhla-Oued Ed-Dahab,Ensemble,Féminin,Population municipale,77573.0
Dakhla-Oued Ed-Dahab,Urbain,Féminin,Population municipale,75805.0
Dakhla-Oued Ed-Dahab,Rural,Ensemble,Population municipale,19210.0
Dakhla-Oued Ed-Dahab,Rural,Masculin,Population municipale,17442.0
Dakhla-Oued Ed-Dahab,Rural,Féminin,Population municipale,1768.0
