Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Marrakech-Safi,Ensemble,Ensemble,Population municipale,4864187.0
Marrakech-Safi,Rural,Ensemble,Population municipale,2629685.0
Marrakech-Safi,Ensemble,Masculin,Population municipale,2452962.0
Marrakech-Safi,Ensemble,Féminin,Population municipale,2411225.0
Marrakech-Safi,Urbain,Ensemble,Population municipale,2234502.0
Marrakech-Safi,Rural,Masculin,Population municipale,1355783.0
Marrakech-Safi,Rural,Féminin,Population municipale,1273902.0
Marrakech-Safi,Urbain,Féminin,Population municipale,1137323.0
Marrakech-Safi,Urbain,Masculin,Population municipale,1097179.0
